molecule,bond_index,begin_atom_idx,end_atom_idx,begin_atom_symbol,end_atom_symbol,bde,bdfe
CC1CCC(C(C)C)C(O)C1,23,6,23,C,H,99.38236538402039,90.12096005300383
CC1CCC(C(C)C)C(O)C1,24,7,24,C,H,99.38236538402039,90.12096005300383
CC1CCC(C(C)C)C(O)C1,25,7,25,C,H,99.38236538402039,90.12096005300383
CC1CCC(C(C)C)C(O)C1,26,7,26,C,H,99.38236538402039,90.12096005300383
CC1CCC(C(C)C)C(O)C1,27,8,27,C,H,91.64957197703247,82.87574113899767
CC1CCC(C(C)C)C(O)C1,28,9,28,O,H,103.27354869304095,94.91324628599652
CC1CCC(C(C)C)C(O)C1,29,10,29,C,H,98.77054410903129,89.97412294698219
CC1CCC(C(C)C)C(O)C1,30,10,30,C,H,98.77054410903129,89.97412294698219
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,0,0,1,C,N,79.49786019196526,65.92421301299245
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,8,8,9,O,C,100.70703688299321,87.09824920003778
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,10,9,11,C,C,82.83934561701821,69.09940855303722
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,11,11,12,C,C,72.35743528101554,59.552486627028124
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,12,12,13,C,O,96.64830867096762,84.92895058702159
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,13,11,14,C,C,96.03334985102211,82.0857073079948
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,23,0,21,C,H,91.23039596502069,82.95480727301207
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,24,0,22,C,H,91.23039596502069,82.95480727301207
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,25,0,23,C,H,91.23039596502069,82.95480727301207
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,26,2,24,C,H,102.18921314103206,93.68332864603417
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,27,3,25,C,H,96.69286180999781,87.87447783300416
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,28,3,26,C,H,96.69286180999781,87.87447783300416
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,29,4,27,C,H,96.69286180999781,87.87447783300416
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,30,4,28,C,H,96.69286180999781,87.87447783300416
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,31,5,29,C,H,102.18921314103206,93.68332864603417
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,32,6,30,C,H,101.07663968398747,91.95705138704088
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,33,6,31,C,H,101.07663968398747,91.95705138704088
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,34,7,32,C,H,95.08894880598095,86.1594957360537
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,35,11,33,C,H,86.5692591130179,79.0780566710264
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,36,12,34,C,H,94.81158982803916,86.19902880302523
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,37,12,35,C,H,94.81158982803916,86.19902880302523
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,38,13,36,O,H,103.65256412897577,95.50875232706248
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,39,15,37,C,H,111.10486101299416,103.16122458200351
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,40,16,38,C,H,111.11427364804173,102.79162178100925
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,41,17,39,C,H,111.61000575800291,103.40281554703562
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,42,18,40,C,H,111.11427364804173,102.79162178100925
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,43,19,41,C,H,111.10486101299416,103.16122458200351
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,44,20,42,C,H,101.07663968398747,91.95705138704088
CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2,45,20,43,C,H,101.07663968398747,91.95705138704088
CN[C@@H](C)[C@H](O)c1ccccc1,0,0,1,C,N,82.558849094013,69.09062342698806
CN[C@@H](C)[C@H](O)c1ccccc1,1,1,2,N,C,85.15610884501879,69.10631115201979
CN[C@@H](C)[C@H](O)c1ccccc1,2,2,3,C,C,83.15498264400604,68.82895217400666
CN[C@@H](C)[C@H](O)c1ccccc1,3,2,4,C,C,68.59489131702689,52.897753681993585
CN[C@@H](C)[C@H](O)c1ccccc1,4,4,5,C,O,88.06586807802033,76.13503946096615
CN[C@@H](C)[C@H](O)c1ccccc1,5,4,6,C,C,95.74469571096616,81.48894624900335
CN[C@@H](C)[C@H](O)c1ccccc1,12,0,12,C,H,91.22223834804129,82.19991394599181
CN[C@@H](C)[C@H](O)c1ccccc1,13,0,13,C,H,91.22223834804129,82.19991394599181
CN[C@@H](C)[C@H](O)c1ccccc1,14,0,14,C,H,91.22223834804129,82.19991394599181
CN[C@@H](C)[C@H](O)c1ccccc1,15,1,15,N,H,93.12233560002375,84.0316127170043
CN[C@@H](C)[C@H](O)c1ccccc1,16,2,16,C,H,94.68044044701358,85.04441224301544
CN[C@@H](C)[C@H](O)c1ccccc1,17,3,17,C,H,99.6314864569978,90.46357996703054
CN[C@@H](C)[C@H](O)c1ccccc1,18,3,18,C,H,99.6314864569978,90.46357996703054
CN[C@@H](C)[C@H](O)c1ccccc1,19,3,19,C,H,99.6314864569978,90.46357996703054
CN[C@@H](C)[C@H](O)c1ccccc1,20,4,20,C,H,79.31023500101092,70.80560552400985
CN[C@@H](C)[C@H](O)c1ccccc1,22,7,22,C,H,112.56695698301237,102.95414661202696
CN[C@@H](C)[C@H](O)c1ccccc1,23,8,23,C,H,110.96806405098285,102.47535724502302
CN[C@@H](C)[C@H](O)c1ccccc1,24,9,24,C,H,110.20250307098954,101.43369230501341
CN[C@@H](C)[C@H](O)c1ccccc1,25,10,25,C,H,110.96806405098285,102.47535724502302
CN[C@@H](C)[C@H](O)c1ccccc1,26,11,26,C,H,112.56695698301237,102.95414661202696
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,0,0,1,N,C,78.81638541797366,65.71399749795248
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,1,1,2,C,C,55.608592561997966,42.112756498971386
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,2,2,3,C,C,103.0018372959779,88.55595260699575
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,6,6,7,C,O,111.48011139497416,100.39077234700696
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,8,8,9,C,O,110.667487239957,99.6208188039534
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,10,1,11,C,C,85.37824703095733,71.45758737493323
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,12,11,13,C,O,110.90782318699226,99.02782279895244
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,16,1,16,C,H,73.00690709601659,64.17848297497694
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,17,2,17,C,H,86.61192972498151,78.07215974399783
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,18,2,18,C,H,86.61192972498151,78.07215974399783
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,19,4,19,C,H,109.2875949490166,100.46607342695953
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,20,5,20,C,H,108.19886683398312,99.98791156895399
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,21,7,21,O,H,76.00012502602142,68.17571530501512
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,22,9,22,O,H,78.37650160901417,70.06514490395317
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,23,10,23,C,H,111.83841903399693,103.0551755609859
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,0,0,1,C,C,88.81134876999299,74.94841994196582
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,1,1,2,C,C,82.7860073520102,67.5601289759285
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,7,7,8,C,C,73.96762337501656,58.33511916696274
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,8,8,9,C,C,111.03395249595917,95.1435420889858
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,13,13,14,N,C,81.3935648809588,67.25390458398826
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,16,0,15,C,H,100.72335211702335,91.33518996797012
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,17,0,16,C,H,100.72335211702335,91.33518996797012
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,18,0,17,C,H,100.72335211702335,91.33518996797012
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,19,1,18,C,H,96.19524717297006,86.9445094949979
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,20,1,19,C,H,96.19524717297006,86.9445094949979
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,21,2,20,C,H,88.9337130249694,80.43222109303176
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,22,6,21,C,H,96.64203358098347,87.45655683898921
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,23,6,22,C,H,96.64203358098347,87.45655683898921
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,24,7,23,C,H,93.3174908990304,83.6425571369878
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,25,8,24,C,H,85.48555106997176,76.17206249201536
CC[C@@H]1C(=O)OC[C@@H]1Cc1cncn1C,26,8,25,C,H,85.48555106997176,76.17206249201536
