smiles,bond_index,atom_type1,atom_type2,bde,bdfe
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],7,6,6,87.96609497070312,74.32907104492188
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],10,6,7,81.60063934326172,68.91492462158203
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],11,7,1,103.88662719726562,95.64303588867188
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],14,7,1,102.25259399414062,94.1564712524414
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],15,6,1,96.04276275634766,86.61004638671875
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],16,6,1,96.04276275634766,86.61004638671875
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],17,6,1,99.1112823486328,89.8856430053711
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],18,6,1,99.1112823486328,89.8856430053711
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],21,6,1,75.59977722167969,67.90525817871094
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],23,7,1,101.04212951660156,92.69563293457033
[H]N=C(N([H])[H])N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],24,7,1,101.04212951660156,92.69563293457033
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],0,8,6,112.2594757080078,100.32865142822266
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],2,6,6,95.89278411865234,81.59876251220703
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],3,6,6,85.72274780273438,71.9363784790039
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],4,6,6,88.76177215576172,74.13140106201172
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],5,6,6,88.39091491699219,73.67897033691406
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],6,6,6,81.25049591064453,66.52285766601562
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],12,8,1,112.04863739013672,103.0238037109375
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],13,6,1,92.54753875732422,83.72036743164062
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],14,6,1,92.54753875732422,83.72036743164062
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],15,6,1,96.6539535522461,89.01905059814453
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],16,6,1,96.6539535522461,89.01905059814453
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],17,6,1,97.0913314819336,88.18070220947266
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],18,6,1,97.0913314819336,88.18070220947266
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],19,6,1,97.0800323486328,87.03047943115234
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],20,6,1,97.0800323486328,87.03047943115234
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],21,6,1,88.7498550415039,80.56964874267578
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],22,6,1,91.10112762451172,82.17481231689453
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],23,6,1,91.10112762451172,82.17481231689453
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],24,6,1,96.61881256103516,87.08570098876953
[H]OC(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])SSC([H])([H])C1([H])[H],25,6,1,96.61881256103516,87.08570098876953
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],0,8,6,111.05591583251952,99.85801696777344
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],2,6,6,94.03912353515624,80.22137451171875
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],3,6,6,88.61117553710938,75.00489807128906
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],4,6,6,69.09188079833984,55.1367073059082
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],5,6,6,86.77069091796875,73.25477600097656
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],7,6,8,109.44886779785156,97.81045532226562
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],8,6,7,80.2734603881836,67.8155288696289
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],9,8,1,112.28583526611328,103.36203002929688
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],10,6,1,93.42040252685548,84.7513656616211
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],11,6,1,93.42040252685548,84.7513656616211
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],12,6,1,98.94938659667967,89.8900375366211
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],13,6,1,98.94938659667967,89.8900375366211
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],14,6,1,78.0081558227539,69.75452423095703
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],16,7,1,99.46080780029295,91.47512817382812
[H]OC(=O)C([H])([H])C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],17,7,1,99.46080780029295,91.47512817382812
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],0,8,6,112.50546264648438,100.81120300292967
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],2,6,6,94.8887710571289,80.94740295410156
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],3,6,6,76.08734893798828,62.0255012512207
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],4,6,6,101.3370590209961,87.0668716430664
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],8,6,17,97.58267211914062,88.24156951904297
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],11,6,6,71.00703430175781,56.927616119384766
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],12,6,7,88.4687271118164,74.98104858398438
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],14,8,1,111.54976654052734,103.36641693115234
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],15,6,1,93.62434387207033,85.35628509521484
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],16,6,1,93.62434387207033,85.35628509521484
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],17,6,1,87.45091247558594,78.95694732666016
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],18,6,1,110.3198471069336,101.6407699584961
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],19,6,1,112.67864990234376,104.32211303710938
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],20,6,1,112.67864990234376,104.32211303710938
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],21,6,1,110.3198471069336,101.6407699584961
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],22,6,1,90.6963882446289,81.68033599853516
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],23,6,1,90.6963882446289,81.68033599853516
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],24,7,1,100.32174682617188,91.52030181884766
[H]OC(=O)C([H])([H])C([H])(c1c([H])c([H])c(Cl)c([H])c1[H])C([H])([H])N([H])[H],25,7,1,100.32174682617188,91.52030181884766
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],0,8,6,112.92150115966795,100.64930725097656
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],2,6,6,97.69310760498048,83.71409606933594
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],3,6,6,65.52637481689453,52.05375289916992
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],4,6,6,87.29402923583984,73.20833587646484
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],6,6,8,111.16886901855467,99.04288482666016
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],7,6,7,81.37599182128906,67.89019775390625
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],8,8,1,112.89640045166016,103.45552825927734
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],9,6,1,95.92792510986328,87.27896881103516
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],10,6,1,95.92792510986328,87.27896881103516
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],11,6,1,74.81977844238281,66.5297622680664
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],13,7,1,100.21883392333984,91.8365707397461
[H]OC(=O)C([H])([H])[C@@]([H])(C(=O)O[H])N([H])[H],14,7,1,100.21883392333984,91.8365707397461
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],0,8,6,109.08177185058594,97.36680603027344
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],2,6,6,86.4299545288086,72.93850708007812
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],3,6,7,79.63654327392578,67.13467407226562
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],4,6,6,67.8255615234375,54.15967559814453
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],5,6,6,89.35791016,75.41089630126953
[H]OC(=O)[C@@]([H])(N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])[H],6,6,6,85.8764877319336,72.12964630126953
